"family","scientificName","commonName","catalogNumber","catalogCode","country","stateProvince","municipality","locality"
"FABACEAE","Chamaecrista  cathartica  (Mart.)  H.S.Irwin  & Barneby","sene-do-campo",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"FABACEAE","Chamaecrista desvauxii var. langsdorffii (Kunth ex  Vogel)  H.S.Irwin  & Barneby*","sene","41173","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"FABACEAE","Copaifera langsdorffii Desf.","copaíba",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"FABACEAE","Dalbergia miscolobium Benth.","caviúna-do-campo",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"FABACEAE","Inga marginata Willd.*","ingá-feijão",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"FABACEAE","Leucochloron incuriale (Vell.)  Barneby  & J.W.Grimes*","angico-rajado",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"FABACEAE","Machaerium acutifolium Vogel","jacarandá-do-campo","41092","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"FABACEAE","Machaerium hirtum (Vell.)  Stellfeld*","barreiro",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"FABACEAE","Machaerium nyctitans (Vell.)  Benth.*","bico-de-andorinha",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"FABACEAE","Mimosa dolens Vell.","juquiri",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"FABACEAE","Ormosia arborea  (Vell.)  Harms*","olho-de-cabra",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"FABACEAE","Periandra mediterranea  (Vell.)  Taub.","alcaçuz-do-cerrado",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"FABACEAE","Piptadenia gonoacantha   (Mart.) J.F.Macbr.",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"FABACEAE","Senna rugosa (G.Don) H.S.Irwin  & Barneby",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"FABACEAE","Senna splendida (Vogel) H.S.Irwin & Barneby*",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"FABACEAE","Stryphnodendron  adstringens (Mart.) Coville","barbatimão-",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
