Origin Image,Barcode,Herbarium of Origin,Associated duplicates in Virtual Herbarium,Indicated duplicates the voucher specimen,Rank:,Scientific Name,"Determination qualifier (cf., aff. ou !)",Family,Genus,Species,subsp./var./forma,Author of Taxon,Determiner,Determination Date ,Type,Collector,Other Collectors,Collection Number,From:,To:,Plant description,Country,State,City,Description of Location,Elevation Minimum,Elevation Maximum,Measurement unit,Latitude Minimum,Latitude Maximum,Longitude Minimum,Longitude Maximum,Comments,Updated by,Updated
PMSP,PMSP00001707,PMSP,,,Species,FABACEAE Desmodium adscendens (Sw.) DC.,,Fabaceae,Desmodium,adscendens,,(Sw.) DC.,A.M.G.A.Tozzi,--/06/1999,no,R.J.F. Garcia,"S.A.S. Stahlhauer,A.M. Brischi",510,25/05/1994,,"Erva rastejante, flores lilases.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,"Trilha 8, ca. 750 m.s.m. Antes da implantação do parque. [Pq. Ecol. APA do Carmo]",,
PMSP,PMSP00001891,PMSP,,,Species,FABACEAE Cajanus cajan (L.) Huth,,Fabaceae,Cajanus,cajan,,(L.) Huth,A.M.G.A.Tozzi,--/11/1997,no,R.J.F. Garcia,"S. Honda,D.L. Pereira,Rogério,V.C.R. Santos,S.A.S. Stahlhauer,Tati,S.J. De Sordi",355,26/05/1993,,"Subarbusto, ca. 1 m alt.; flores amarelas; frutos verdes.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,AAntes da implantação do parque. [Aterro Jacuí],,
PMSP,PMSP00001894,PMSP,,,Species,FABACEAE Collaea speciosa (Loisel.) DC.,,Fabaceae,Collaea,speciosa,,(Loisel.) DC.,No determiner,,no,R.J.F. Garcia,"S. Honda,D.L. Pereira,Rogério,V.C.R. Santos,S.A.S. Stahlhauer,Tati,S.J. De Sordi",360,26/05/1993,,"Subarbusto, ca. 1 m alt.; flores vermelhas; frutos verdes.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,Antes da implantação do parque. [Aterro Jacuí],,
PMSP,PMSP00001982,PMSP,,,Species,FABACEAE Cassia javanica L.,,Fabaceae,Cassia,javanica,,L.,G.O. Romão,--/08/1998,no,G.M.P. Ferreira,,12,17/02/1995,,"Árvore, 8 m alt., 35+30 cm DAP; flores com pétlas rosas, filetes amarelos, anteras marrom-avermelhadas, estigma verde.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00001987,PMSP,,,Species,FABACEAE Mimosa bimucronata (DC.) Kuntze,,Fabaceae,Mimosa,bimucronata,,(DC.) Kuntze,S.A.P.Godoy,16/01/1995,no,S.A.P. Godoy,"R.J.F. Garcia,S. Honda,G.M.P. Ferreira",296,16/01/1995,,"Arvoreta ramificada, ca.4 m alt.; flores alvas em glomérulos.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,Trilha do campo de futebol (próximo ao córrego). Antes da implantação do parque [Pq. Ecol. APA do Carmo],,
PMSP,PMSP00001989,PMSP,,,Species,FABACEAE Crotalaria micans Link,,Fabaceae,Crotalaria,micans,,Link,J.M.Soares 25/05/1997 / !A.M.Filliettaz,--/--/1998,no,S.A.P. Godoy,"R.J.F. Garcia,S. Honda,G.M.P. Ferreira",298,16/01/1995,,"Arbusto, ca. 2 m alt.; flores amarelas, estandarte e alas com estrias marrons. Visitada por mangabas e formigas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,Trilha do campo de futebol. Antes da implantação do parque [Pq. Ecol. APA do Carmo],,
PMSP,PMSP00002029,PMSP,,,Species,FABACEAE Mimosa bimucronata (DC.) Kuntze,,Fabaceae,Mimosa,bimucronata,,(DC.) Kuntze,S.A.P.Godoy,16/01/1995,no,S.A.P. Godoy,"R.J.F. Garcia,S. Honda,G.M.P. Ferreira",339,16/01/1995,,"Árvore, ca. 6 m alt.,30 cm DAP; glomérulos em botão creme-esverdeados.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,Próximo à lanchonete e o córrego. Antes da implantação do parque [Pq. Ecol. APA do Carmo],,
PMSP,PMSP00002042,PMSP,,,Species,FABACEAE Tachigali denudata (Vogel) Oliveira-Filho,,Fabaceae,Tachigali,denudata,,(Vogel) Oliveira-Filho,No determiner,,no,S.A.P. Godoy,"R.J.F. Garcia,G.M.P. Ferreira,L.F. Neves,A.S. Bellezzo",437,18/04/1995,,"Árvore, ca. 18 m alt.,80 cm DAP; frutos abertos expondo envoltório de sementes paleáceo.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,Próximo à cerca.,,
PMSP,PMSP00002114,PMSP,,,Species,FABACEAE Senna multijuga (Rich.) H.S.Irwin & Barneby,,Fabaceae,Senna,multijuga,,(Rich.) H.S.Irwin & Barneby,V.C. Souza,--/--/1999,no,R.J.F. Garcia,"G.M.P. Ferreira,M. Heineberg",669,20/04/1995,,"Árvore, 6 m alt., 10 cm DAP, frutos verdes.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,Estrada de acesso.,,
PMSP,PMSP00002335,PMSP,,,Species,FABACEAE Canavalia picta Mart. ex Benth.,,Fabaceae,Canavalia,picta,,Mart. ex Benth.,L.P.Queiroz,--/--/1999,no,R.J.F. Garcia,"S. Honda,G.M.P. Ferreira,A.M. Brischi",620,27/03/1995,,Trepadeira; flores roxas.,Brasil,São Paulo,São Paulo,,,,METRO,,,,,Trilha do campo de futebol. Antes da implantação do parque [Pq. Ecol. APA do Carmo],,
